foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q269925,Conor Burns,Q9626,Conservative Party (UK),24550,Q30173038,General election 2019,1
Q76450630,,David Stokes,Q9630,Labour Party (UK),14400,Q30173038,General election 2019,2
Q75838730,,Jon Nicholas,Q9624,Liberal Democrats (UK),4931,Q30173038,General election 2019,3
Q75975308,,Simon Bull,Q9669,Green Party of England and Wales,2096,Q30173038,General election 2019,4
,Q269925,Conor Burns,Q9626,Conservative Party (UK),23812,Q25052149,General election 2017,1
Q76450630,,David Stokes,Q9630,Labour Party (UK),16101,Q25052149,General election 2017,2
,,Phil Dunn,Q9624,Liberal Democrats (UK),2929,Q25052149,General election 2017,3
Q75975308,,Simon Bull,Q9669,Green Party of England and Wales,1247,Q25052149,General election 2017,4
,,Jason Halsey,Q1574974,Pirate Party UK,418,Q25052149,General election 2017,5
,Q269925,Conor Burns,Q9626,Conservative Party (UK),20155,Q3586935,General election 2015,1
,,Martin Houlden,Q10647,UK Independence Party,7745,Q3586935,General election 2015,2
Q76450630,,David Stokes,Q9630,Labour Party (UK),7386,Q3586935,General election 2015,3
Q98560882,,Mike Plummer,Q9624,Liberal Democrats (UK),3281,Q3586935,General election 2015,4
,,Elizabeth McManus,Q9669,Green Party of England and Wales,3107,Q3586935,General election 2015,5
,,Dick Franklin,Q98601511,Patria,99,Q3586935,General election 2015,6
,Q269925,Conor Burns,Q9626,Conservative Party (UK),18808,Q215622,General election 2010,1
,,Alasdair Murray,Q9624,Liberal Democrats (UK),13225,Q215622,General election 2010,2
,,Sharon Carr-Brown,Q9630,Labour Party (UK),6171,Q215622,General election 2010,3
,,Philip Glover,Q10647,UK Independence Party,2999,Q215622,General election 2010,4
,,Harvey Taylor,Q327591,Independent (politician),456,Q215622,General election 2010,5
,Q337532,John Butterfill,Q9626,Conservative Party (UK),14057,Q428598,General election 2005,1
,,Richard Renaut,Q9624,Liberal Democrats (UK),10026,Q428598,General election 2005,2
,,Dafydd Williams,Q9630,Labour Party (UK),7824,Q428598,General election 2005,3
,,Michael Maclaire-Hillier,Q10647,United Kingdom Independence Party,2017,Q428598,General election 2005,4
,Q337532,John Butterfill,Q9626,Conservative Party (UK),14417,Q590740,General election 2001,1
Q76450630,,David Stokes,Q9630,Labour Party (UK),9699,Q590740,General election 2001,2
,,Fiona Hornby,Q9624,Liberal Democrats (UK),8468,Q590740,General election 2001,3
,,Cynthia Blake,Q10647,UK Independence Party,1064,Q590740,General election 2001,4
,Q337532,John Butterfill,Q9626,Conservative Party (UK),17115,Q918503,General election 1997,1
,,Janet Dover,Q9624,Liberal Democrats (UK),11405,Q918503,General election 1997,2
,,Dennis Gritt,Q9630,Labour Party (UK),10093,Q918503,General election 1997,3
,,Ronald Mills,Q278315,Referendum Party,1910,Q918503,General election 1997,4
,,Linda Tooley,Q10647,United Kingdom Independence Party,281,Q918503,General election 1997,5
,Q6249551,John Morse,Q161269,British National Party,165,Q918503,General election 1997,6
,,Alexander Springham,Q491782,Natural Law Party,103,Q918503,General election 1997,7
,Q337532,John Butterfill,Q9626,Conservative Party (UK),29820,Q543609,General election 1992,1
,,Janet Dover,Q9624,Liberal Democrats (UK),17117,Q543609,General election 1992,2
,,Ben Grower,Q9630,Labour Party (UK),9423,Q543609,General election 1992,3
,,Alexander Springham,Q491782,Natural Law Party,232,Q543609,General election 1992,4
,Q337532,John Butterfill,Q9626,Conservative Party (UK),30117,Q918472,General election 1987,1
,,Peter Craven,Q40052,Social Democratic Party (UK),17466,Q918472,General election 1987,2
,,Ronald Jones,Q9630,Labour Party (UK),7018,Q918472,General election 1987,3
,Q337532,John Butterfill,Q9626,Conservative Party (UK),28466,Q918466,General election 1983,1
,,M James,Q622441,Liberal Party (UK),15135,Q918466,General election 1983,2
,,K Horrocks,Q9630,Labour Party (UK),6243,Q918466,General election 1983,3
,Q6249551,John Morse,Q161269,British National Party,180,Q918466,General election 1983,4
,Q1699922,John Eden,Q9626,Conservative Party (UK),25873,Q918450,General election 1979,1
,,Peter J. Brushett,Q9630,Labour Party (UK),9247,Q918450,General election 1979,2
,,Terence D. G. Richards,Q622441,Liberal Party (UK),7677,Q918450,General election 1979,3
,,G Hubbard,Q158093,National Front (UK),438,Q918450,General election 1979,4
,Q1699922,John Eden,Q9626,Conservative Party (UK),21294,Q918508,General election October 1974,1
,,LF Bennett,Q9630,Labour Party (UK),10566,Q918508,General election October 1974,2
,,Terence D. G. Richards,Q622441,Liberal Party (UK),10166,Q918508,General election October 1974,3
,Q1699922,John Eden,Q9626,Conservative Party (UK),23473,Q119524,General election February 1974,1
,,Terence D. G. Richards,Q622441,Liberal Party (UK),12655,Q119524,General election February 1974,2
,,LF Bennett,Q9630,Labour Party (UK),10062,Q119524,General election February 1974,3
,Q1699922,John Eden,Q9626,Conservative Party (UK),28714,Q918442,General election 1970,1
,,L. F. Bennett,Q9630,Labour Party (UK),14099,Q918442,General election 1970,2
,,John E. Mills,Q622441,Liberal Party (UK),8303,Q918442,General election 1970,3
,Q1699922,John Eden,Q9626,Conservative Party (UK),25740,Q918430,General election 1966,1
,,Lionel F Bennett,Q9630,Labour Party (UK),16334,Q918430,General election 1966,2
,,John F Mills,Q622441,Liberal Party (UK),9389,Q918430,General election 1966,3
,Q1699922,John Eden,Q9626,Conservative Party (UK),26114,Q220208,General election 1964,1
,,George W Spicer,Q9630,Labour Party (UK),13975,Q220208,General election 1964,2
,,John F Mills,Q622441,Liberal Party (UK),11681,Q220208,General election 1964,3
,Q1699922,John Eden,Q9626,Conservative Party (UK),33575,Q918420,General election 1959,1
,,George W Spicer,Q9630,Labour Party (UK),15957,Q918420,General election 1959,2
,Q1699922,John Eden,Q9626,Conservative Party (UK),31931,Q918412,General election 1955,1
,,Charles Ford,Q9630,Labour Party (UK),15147,Q918412,General election 1955,2
,Q1699922,John Eden,Q9626,Conservative Party (UK),20695,Q17986032,"Bournemouth West by-election, 1954",1
,Q57265452,Henry Brinton,Q9630,Labour Party (UK),9006,Q17986032,"Bournemouth West by-election, 1954",2
,Q9310800,Robert Gascoyne-Cecil,Q9626,Conservative Party (UK),33269,Q3722280,General election 1951,1
,Q333087,Judith Hart,Q9630,Labour Party (UK),17532,Q3722280,General election 1951,2
,Q9310800,Robert Gascoyne-Cecil,Q9626,Conservative Party (UK),28548,Q748667,General election 1950,1
,,WA Boddy,Q9630,Labour Party (UK),15476,Q748667,General election 1950,2
,Q1699682,John Creasey,Q622441,Liberal Party (UK),9216,Q748667,General election 1950,3
